country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Thailand,43.9,43.6,36.5,36.2,35.1,35.6,27.3,23.7,23.9,25.4,25.0
Tajikistan,79.6,79.3,79.8,79.6,78.1,76.3,76.9,77.8,75.4,75.1,73.3
Turkmenistan,20.4,24.0,30.1,28.6,32.3,36.7,42.0,44.4,50.9,40.8,40.6
Timor-Leste,25.1,27.7,27.8,25.5,35.0,25.4,21.7,25.7,30.3,33.9,44.2
Tonga,29.3,24.3,24.3,16.9,16.9,12.9,13.0,15.1,15.1,20.4,18.5
Trinidad and Tobago,57.0,52.6,49.1,51.1,52.5,47.1,46.3,50.9,51.1,39.4,40.1
Tunisia,45.1,46.3,47.4,47.3,48.2,48.5,47.6,47.6,45.9,45.1,45.7
Turkey,37.1,31.9,29.3,28.1,28.8,32.2,31.7,32.2,27.0,24.9,24.8
Tuvalu,0.12,0.12,0.14,0.1,0.11,0.11,0.1,0.11,0.09,0.13,0.11
Tanzania,56.6,54.5,55.4,50.5,55.6,53.0,41.1,35.9,38.3,33.9,32.7
Uganda,73.2,72.7,70.5,70.8,74.1,74.7,79.0,80.5,82.8,78.2,78.3
Ukraine,48.2,45.7,43.8,41.7,41.5,40.5,39.2,38.1,42.3,45.0,43.4
Uruguay,27.7,28.1,29.2,32.0,50.7,49.3,46.9,45.4,36.2,34.7,32.9
USA,56.8,55.8,55.9,56.4,56.0,55.9,55.1,54.9,54.0,52.3,46.9
Uzbekistan,55.9,55.1,56.1,54.6,58.3,56.7,58.1,58.5,54.2,54.6,52.5
St. Vincent and the Grenadines,17.8,19.1,17.8,17.9,18.8,19.1,18.0,17.9,15.2,15.7,13.6
Venezuela,58.5,59.3,60.7,61.9,58.6,56.7,58.3,53.5,55.0,60.0,65.1
Vietnam,69.0,68.5,69.5,67.9,72.6,73.6,67.1,60.0,66.0,62.5,62.2
Vanuatu,23.4,24.0,24.4,24.9,26.0,27.1,20.7,13.4,11.6,10.2,9.39
Samoa,23.3,25.0,20.0,20.4,18.1,18.7,15.0,14.1,14.2,14.7,12.3
Yemen,46.2,46.7,48.8,54.2,62.1,66.1,68.4,70.3,69.0,73.5,75.8
South Africa,59.5,60.5,61.3,60.5,63.6,61.7,60.1,59.2,57.9,56.2,55.9
Zambia,48.7,43.1,36.1,38.4,42.7,45.1,39.3,44.3,40.5,41.4,39.7
Zimbabwe,47.2,61.6,,,,,,,,,
