country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Nicaragua,36.6,34.3,32.1,30.1,28.2,26.5,24.9,23.5,22.3,21.3,20.4
Netherlands,6.19,6.06,5.91,5.74,5.55,5.36,5.15,4.95,4.77,4.6,4.46
Norway,4.85,4.7,4.55,4.37,4.2,4.03,3.86,3.7,3.54,3.38,3.23
Nepal,81.1,76.5,72.3,68.3,64.6,61.1,57.9,54.9,52.0,49.4,46.8
Nauru,41.6,40.6,39.8,39.2,38.8,38.8,38.8,39.1,39.3,39.3,39.0
New Zealand,7.39,7.2,7.03,6.87,6.72,6.58,6.46,6.37,6.28,6.21,6.14
Oman,16.5,15.4,14.6,13.9,13.3,12.8,12.5,12.2,12.0,11.8,11.7
Pakistan,112.0,110.0,107.0,105.0,102.0,99.8,97.3,94.9,92.4,90.0,87.5
Panama,25.9,25.3,24.7,24.1,23.5,22.9,22.3,21.7,21.1,20.5,19.9
Peru,38.6,35.6,33.0,30.6,28.5,26.7,25.1,23.6,22.3,21.1,20.1
Philippines,37.8,37.1,36.4,35.7,35.0,34.4,33.8,33.3,32.8,32.4,32.0
Palau,28.8,28.2,27.7,27.1,26.6,26.1,25.6,25.0,24.5,23.9,23.2
Papua New Guinea,72.4,71.0,69.6,68.2,66.7,65.3,63.9,62.5,61.0,59.6,58.2
Poland,9.31,8.81,8.43,8.1,7.82,7.56,7.31,7.01,6.67,6.32,5.98
North Korea,60.0,52.1,44.7,38.9,35.0,33.0,32.4,32.2,31.8,31.0,29.5
Portugal,7.2,6.67,6.12,5.58,5.1,4.73,4.44,4.23,4.08,3.96,3.87
Paraguay,33.8,33.0,32.3,31.5,30.7,29.9,29.2,28.4,27.7,26.8,26.0
Palestine,30.1,29.2,28.4,27.6,26.9,26.2,25.6,24.9,24.3,23.8,23.3
Qatar,12.4,11.9,11.5,11.1,10.7,10.4,10.1,9.8,9.5,9.2,9.0
Romania,21.9,21.1,20.5,20.0,19.3,18.0,16.2,14.4,13.0,12.0,11.5
Russia,19.3,18.3,17.2,16.0,14.8,13.7,12.8,11.9,11.2,10.7,10.3
Rwanda,183.0,170.0,155.0,139.0,124.0,110.0,98.3,87.8,78.6,70.7,63.5
Saudi Arabia,22.2,20.9,19.7,18.6,17.6,16.6,15.6,14.7,13.8,12.9,12.1
Sudan,104.0,101.0,97.5,94.2,91.1,88.2,85.4,82.8,80.4,78.1,75.9
Senegal,131.0,125.0,117.0,109.0,101.0,93.7,87.0,80.9,75.5,70.7,66.4
Singapore,3.86,3.6,3.38,3.2,3.06,2.96,2.89,2.86,2.84,2.83,2.81
Solomon Islands,30.4,30.0,29.7,29.4,29.1,28.8,28.4,27.8,27.2,26.5,25.7
Sierra Leone,234.0,229.0,223.0,217.0,210.0,204.0,196.0,189.0,180.0,172.0,163.0
El Salvador,32.9,31.1,29.4,27.8,26.3,24.9,23.6,22.4,21.3,20.2,19.3
San Marino,6.07,5.64,5.22,4.84,4.49,4.16,3.86,3.59,3.32,3.08,2.86
Somalia,172.0,172.0,172.0,172.0,172.0,172.0,172.0,170.0,166.0,162.0,157.0
Serbia,12.7,12.2,11.4,10.5,9.66,8.92,8.41,8.12,7.95,7.79,7.61
South Sudan,183.0,174.0,165.0,157.0,149.0,141.0,134.0,127.0,121.0,115.0,109.0
Sao Tome and Principe,84.6,79.8,75.1,70.6,66.1,62.0,58.1,54.5,51.2,48.2,45.4
Suriname,34.4,33.3,32.1,31.1,30.0,29.1,28.2,27.3,26.4,25.5,24.7
Slovak Republic,9.78,9.43,9.1,8.79,8.5,8.22,7.94,7.68,7.43,7.19,6.97
Slovenia,5.51,5.22,4.94,4.68,4.44,4.21,3.99,3.78,3.58,3.39,3.21
Sweden,4.1,4.05,3.99,3.88,3.75,3.6,3.45,3.32,3.21,3.13,3.06
Eswatini,126.0,130.0,132.0,133.0,132.0,129.0,118.0,112.0,108.0,100.0,88.7
Seychelles,13.7,13.7,13.7,13.7,13.7,13.8,13.8,13.8,13.9,14.0,14.1
